time,.data
2019/04/05/17:20:55.285313,LR-7492
2019/04/05/17:20:56.246466,LR18315
2019/04/05/17:20:56.547505,LR6035
2019/04/05/17:20:56.727597,LR-1040
2019/04/05/17:20:56.817234,LR-1873
2019/04/05/17:20:56.927382,LR-1873
2019/04/05/17:20:57.037435,LR208
2019/04/05/17:20:57.107301,LR1040
2019/04/05/17:20:57.197502,LR416
2019/04/05/17:20:57.277393,LR208
2019/04/05/17:20:57.367450,LR208
2019/04/05/17:20:57.448284,LR208
2019/04/05/17:20:57.527506,LR208
2019/04/05/17:20:57.607170,LR1040
2019/04/05/17:20:57.697426,LR416
2019/04/05/17:20:57.797456,LR-1456
2019/04/05/17:20:57.897315,LR-1456
2019/04/05/17:20:57.997214,LR-624
2019/04/05/17:20:58.087465,LR-416
2019/04/05/17:20:58.197400,LR1040
2019/04/05/17:20:58.287401,LR832
2019/04/05/17:20:58.377351,LR208
2019/04/05/17:20:58.457469,LR208
2019/04/05/17:20:58.537398,LR208
2019/04/05/17:20:58.617380,LR208
2019/04/05/17:20:58.697299,LR416
2019/04/05/17:20:58.787390,LR416
2019/04/05/17:20:58.877139,LR-624
2019/04/05/17:20:58.967368,LR-624
2019/04/05/17:20:59.057219,LR-416
2019/04/05/17:20:59.137466,LR208
2019/04/05/17:20:59.207316,LR208
2019/04/05/17:20:59.277228,LR208
2019/04/05/17:20:59.347440,LR208
2019/04/05/17:20:59.417299,LR208
2019/04/05/17:20:59.487416,LR-416
2019/04/05/17:20:59.567370,LR-416
2019/04/05/17:20:59.647465,LR-1040
2019/04/05/17:20:59.737439,LR208
2019/04/05/17:20:59.807326,LR21645
2019/04/05/17:21:00.137237,LR1456
2019/04/05/17:21:00.237370,LR-208
2019/04/05/17:21:00.307417,LR-1040
2019/04/05/17:21:00.397305,LR-1040
2019/04/05/17:21:00.487330,LR-1040
2019/04/05/17:21:00.577264,LR-416
2019/04/05/17:21:00.697415,LR-416
2019/04/05/17:21:00.817452,LR0
2019/04/05/17:21:00.857432,LR1248
2019/04/05/17:21:00.957425,LR416
2019/04/05/17:21:01.077294,LR1248
2019/04/05/17:21:01.177329,LR832
2019/04/05/17:21:01.277311,LR-416
2019/04/05/17:21:01.357390,LR-1248
2019/04/05/17:21:01.459165,LR-1040
2019/04/05/17:21:01.547364,LR416
2019/04/05/17:21:01.638150,LR832
2019/04/05/17:21:01.727396,LR416
2019/04/05/17:21:01.827415,LR-208
2019/04/05/17:21:01.907436,LR-208
2019/04/05/17:21:01.987413,LR0
2019/04/05/17:21:02.017453,LR-208
2019/04/05/17:21:02.087357,LR-208
2019/04/05/17:21:02.157406,LR832
2019/04/05/17:21:02.287271,LR416
2019/04/05/17:21:02.377266,LR-416
2019/04/05/17:21:02.457433,LR-1040
2019/04/05/17:21:02.547405,LR-208
2019/04/05/17:21:02.617355,LR-208
2019/04/05/17:21:02.697228,LR0
2019/04/05/17:21:02.727399,LR0
2019/04/05/17:21:02.767335,LR0
2019/04/05/17:21:02.807526,LR0
2019/04/05/17:21:02.847397,LR-416
2019/04/05/17:21:02.927375,LR416
2019/04/05/17:21:03.007427,LR416
2019/04/05/17:21:03.087511,LR1248
2019/04/05/17:21:03.187332,LR416
2019/04/05/17:21:03.267495,LR-1040
2019/04/05/17:21:03.357400,LR-416
