time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:39:00.631416,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:00.731345,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:00.831300,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:00.931313,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.031394,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.131401,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.231333,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.331248,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.431382,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.531259,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.631249,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.731332,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.831120,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:01.931258,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.031294,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.131192,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.231337,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.331377,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.431459,0,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.531247,0,2.13460111618,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.631260,0,2.37989330292,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.731392,0,2.62899136543,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.831261,0,2.88000011444,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:02.931170,0,3.13100862503,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.031305,0,3.38010668755,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.131344,0,3.62539887428,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.231442,0,3.86501812935,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.331201,0,4.09714078903,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.431230,0,4.32000017166,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.531374,0,4.53189992905,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.631252,0,4.73122835159,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.731339,0,4.91646766663,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.831310,0,5.08620786667,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:03.931268,0,5.2391576767,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.031414,0,5.37415313721,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.131234,0,5.49016666412,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.231389,0,5.58631467819,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.331269,0,5.66186618805,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.431219,0,5.71624612808,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.531140,0,5.74904060364,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.631405,0,5.76000022888,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.731417,0,5.74904060364,0.0,0.0,0,0,0,0,0
2019/04/05/16:39:04.831270,0,5.71624612808,0.0,0.0,0,0,0,0,0
