time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:41:24.551259,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:24.651230,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:24.751363,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:24.851380,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:24.951305,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.051373,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.151293,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.251502,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.351446,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.451174,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.551509,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.651227,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.751269,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.851307,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:25.951390,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.051298,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.151389,127,2.0,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.251373,127,2.13460111618,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.351359,127,2.37989330292,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.451288,127,2.62899136543,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.551223,127,2.88000011444,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.651206,127,3.13100862503,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.751169,127,3.38010668755,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.851449,127,3.62539887428,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:26.951276,127,3.86501812935,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.051156,127,4.09714078903,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.151372,127,4.32000017166,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.251332,127,4.53189992905,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.351374,127,4.73122835159,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.451236,127,4.91646766663,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.551450,127,5.08620786667,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.651283,127,5.2391576767,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.751300,127,5.37415313721,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.851259,127,5.49016666412,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:27.951336,127,5.58631467819,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.051494,127,5.66186618805,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.151342,127,5.71624612808,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.251348,127,5.74904060364,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.351426,127,5.76000022888,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.451377,127,5.74904060364,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.551291,127,5.71624612808,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.651238,127,5.66186618805,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.751464,127,5.58631467819,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.851307,127,5.49016666412,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:28.951281,127,5.37415313721,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.051311,127,5.2391576767,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.151406,127,5.08620786667,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.251193,127,4.91646766663,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.351383,127,4.73122835159,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.451344,127,4.53189992905,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.551313,127,4.32000017166,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.651510,127,4.09714078903,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.751228,127,3.86501812935,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.851271,127,3.62539887428,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:29.951283,127,3.38010668755,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.051377,127,3.13100862503,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.151169,127,2.88000011444,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.251327,127,2.62899136543,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.351336,127,2.37989330292,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.451313,127,2.13460111618,0.0,0.0,0,0,0,0,0
2019/04/05/16:41:30.551385,127,2.0,0.0,0.0,0,0,0,0,0
