time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:38:47.706562,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:47.716529,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:47.726730,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.736692,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.746733,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.756679,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.766681,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.776797,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.786699,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:47.796708,0,2.07999992371,0.1,0.0,1,0,0,0,0
2019/04/05/16:38:47.806746,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:47.816642,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.826664,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.836721,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:47.846718,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:47.856732,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.866749,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.876745,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.886629,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:47.896662,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.906792,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.916644,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.926675,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:47.936729,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.946622,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.956721,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.966708,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:47.976691,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.986689,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:47.996689,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.006699,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.016669,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.026685,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.036595,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.046666,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.056673,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.066735,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.076643,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.086751,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.096634,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.106743,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.116688,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.126696,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.136630,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.146716,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.156709,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.166790,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.176656,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.186664,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.196702,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.206707,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.216663,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.226681,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.236656,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.246748,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.256703,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.266717,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.276745,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.286700,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.296727,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.306738,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.316607,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.326691,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:38:48.336650,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.346749,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.356729,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.366746,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.376726,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.386662,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.396729,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.406704,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.416687,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.426703,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.436740,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:38:48.446741,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.456723,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:38:48.466700,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.476727,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.486759,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:38:48.496737,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
