time,.accel_opening,.max_velocity,.steer_angle,.vehicle_velocity,.direction_switch,.light_signal,.left_winker,.right_winker,.hone_signal
2019/04/05/16:41:02.526469,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.536511,0,2.07999992371,-0.4,0.0,1,0,0,0,0
2019/04/05/16:41:02.546814,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.556692,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.566682,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:41:02.576627,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.586527,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.596920,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.606462,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.616720,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.626645,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.636637,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:41:02.646748,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.656632,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.666608,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.676542,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.686623,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.696728,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.706686,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:41:02.716665,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.726746,0,2.07999992371,-0.2,0.0,1,0,0,0,0
2019/04/05/16:41:02.736657,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:41:02.746729,0,2.07999992371,-0.5,0.0,1,0,0,0,0
2019/04/05/16:41:02.756739,0,2.07999992371,-2.6645352591e-15,0.0,1,0,0,0,0
2019/04/05/16:41:02.766675,0,2.07999992371,-0.4,0.0,1,0,0,0,0
